workbook_id,category,extension,sheet_index,sheet_id,sheet_kind,visibility,rows_used,columns_used,populated_cells,formula_cells,formula_families,external_reference_formulas,volatile_formula_cells,functions,calculation_topics,unit_evidence_count,unit_dimensions,canonical_units,warning_count,extraction_method,extraction_status
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,visible,295,21,1922,1508,9,0,0,IF|UDF|VLOOKUP,casing-cementing.unresolved,64,density|length|pressure,ft|in|mm|ppg|psi,0,openpyxl-read-only,ok
04fb7368e003571e,hydraulics,.xlsx,1,s0001,worksheet,visible,45,9,48,1,1,0,0,SUM,cross-cutting.validation,19,area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|ppg|psi|rpm,0,openpyxl-read-only,ok
04fb7368e003571e,hydraulics,.xlsx,2,s0002,worksheet,visible,86,9,192,0,0,0,0,,cross-cutting.validation,110,length|penetration_rate|pressure|rotational_speed|volumetric_flow,ft|ft/h|gal/min|psi|rpm,0,openpyxl-read-only,ok
04fb7368e003571e,hydraulics,.xlsx,3,s0003,worksheet,visible,84,9,600,480,1,0,0,,hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,18,density|pressure|rotational_speed|volumetric_flow,gal/min|ppg|psi|rpm,0,openpyxl-read-only,ok
04fb7368e003571e,hydraulics,.xlsx,4,s0004,worksheet,visible,47,10,4,0,0,0,0,,cross-cutting.validation,0,,,0,openpyxl-read-only,ok
07703bad7ed83b8e,hydraulics,.xlsx,1,s0001,worksheet,visible,22,4,83,40,2,0,0,,hydraulics.unresolved,0,,,0,openpyxl-read-only,ok
07703bad7ed83b8e,hydraulics,.xlsx,2,s0002,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.unresolved,0,,,0,openpyxl-read-only,ok
07703bad7ed83b8e,hydraulics,.xlsx,3,s0003,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.unresolved,0,,,0,openpyxl-read-only,ok
08779a41064fe720,well-control,.xls,1,s0001,worksheet,visible,20,7,37,5,5,0,4,UDF,hydraulics.fluid-properties,6,density|density_ratio|time,h|lbm/ft^3|specific-gravity,5,calamine-static,ok
08779a41064fe720,well-control,.xls,2,s0002,worksheet,visible,0,0,0,0,0,0,0,,well-control.unresolved,0,,,1,calamine-static,ok
08779a41064fe720,well-control,.xls,3,s0003,worksheet,visible,0,0,0,0,0,0,0,,well-control.unresolved,0,,,1,calamine-static,ok
08779a41064fe720,well-control,.xls,4,s0004,worksheet,visible,0,0,0,0,0,0,0,,well-control.unresolved,0,,,1,calamine-static,ok
0bd17e3b1ef5840f,hydraulics,.xlsx,1,s0001,worksheet,visible,56,9,133,1,1,0,0,SUM,cross-cutting.validation,27,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,0,openpyxl-read-only,ok
0bd17e3b1ef5840f,hydraulics,.xlsx,2,s0002,worksheet,visible,86,9,372,0,0,0,0,,hydraulics.rheology,110,length|penetration_rate|pressure|rotational_speed|volumetric_flow,ft|ft/h|gal/min|psi|rpm,0,openpyxl-read-only,ok
0bd17e3b1ef5840f,hydraulics,.xlsx,3,s0003,worksheet,visible,84,9,600,450,1,0,0,,hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,18,density|pressure|rotational_speed|volumetric_flow,gal/min|ppg|psi|rpm,0,openpyxl-read-only,ok
0bd17e3b1ef5840f,hydraulics,.xlsx,4,s0004,worksheet,visible,47,10,4,0,0,0,0,,hydraulics.rheology,0,,,0,openpyxl-read-only,ok
103555378b7cd4f8,hydraulics,.xlsx,1,s0001,worksheet,visible,995,15,12941,3976,3,0,0,ABS|IF|POWER,hydraulics.rheology,0,,,0,openpyxl-read-only,ok
103555378b7cd4f8,hydraulics,.xlsx,2,s0002,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.rheology,0,,,0,openpyxl-read-only,ok
103555378b7cd4f8,hydraulics,.xlsx,3,s0003,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.rheology,0,,,0,openpyxl-read-only,ok
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,visible,252,19,446,248,9,0,0,SUM,bha.geometry|torque-drag.connection-capacity,10,angle|density|length,ft|ppg|rad,0,openpyxl-read-only,ok
10ad89a67b02b3a8,bha-tools,.xlsx,2,s0002,worksheet,visible,0,0,0,0,0,0,0,,bha.geometry,0,,,0,openpyxl-read-only,ok
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,visible,97,20,1096,96,9,0,0,ACOS|COS|RADIANS|SIN|SQRT|TAN,bha.geometry|directional.coordinates,9,angle|curvature|length,deg|deg/30m|ft|m|rad,0,openpyxl-read-only,ok
10ad89a67b02b3a8,bha-tools,.xlsx,4,s0004,worksheet,visible,35,12,160,114,3,0,0,SQRT,bha.geometry,5,length|time,ft|m|s,0,openpyxl-read-only,ok
150938c6fccf188a,hydraulics,.xlsx,1,s0001,worksheet,visible,65,11,300,1,1,0,0,,hydraulics.fluid-properties|hydraulics.rheology,0,,,0,openpyxl-read-only,ok
150938c6fccf188a,hydraulics,.xlsx,2,s0002,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.fluid-properties|hydraulics.rheology,0,,,0,openpyxl-read-only,ok
150938c6fccf188a,hydraulics,.xlsx,3,s0003,worksheet,visible,0,0,0,0,0,0,0,,hydraulics.fluid-properties|hydraulics.rheology,0,,,0,openpyxl-read-only,ok
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,visible,10,7,67,14,10,0,0,,bha.geometry|torque-drag.axial-load,4,force|length,kN|m|mm,0,openpyxl-read-only,ok
17219f0e78ccdcfd,bha-tools,.xlsm,2,s0002,worksheet,visible,6,15,87,4,1,0,0,,hydraulics.fluid-properties,11,density|length|pressure,MPa|kg/m^3|m|mm,0,openpyxl-read-only,ok
17219f0e78ccdcfd,bha-tools,.xlsm,3,s0003,worksheet,visible,3,17,47,1,1,0,0,,hydraulics.fluid-properties,11,density|length|pressure,MPa|kg/m^3|m|mm,0,openpyxl-read-only,ok
17219f0e78ccdcfd,bha-tools,.xlsm,4,s0004,worksheet,visible,3,11,26,0,0,0,0,,bha.geometry,7,force|length,ft|in|kN|m|mm,0,openpyxl-read-only,ok
17219f0e78ccdcfd,bha-tools,.xlsm,5,s0005,worksheet,visible,3,30,73,0,0,0,0,,bha.unresolved,24,density|force|length|linear_mass|pressure,MPa|in|kg/m^3|lbf|lbm/ft|lbm/ft^3|m|mm|psi,0,openpyxl-read-only,ok
1d0b997e43f13c8f,torque-drag-drillstring,.xls,1,s0001,worksheet,visible,21,9,17,0,0,0,0,,torque-drag.axial-load|torque-drag.torque,0,,,1,calamine-static,ok
