workbook_id,category,sheet_index,sheet_id,observed_unit,canonical_unit,dimension,canonical_si_unit,conversion_kind,si_multiplier,si_offset,pressure_basis,temperature_kind,reference_state,quantity_kind,evidence_source,evidence_confidence,occurrences,normalization_hazard
03d6e377ebce5434,cementing-casing,1,s0001,ft,ft,length,m,scale,0.3048,0.0,not-applicable,not-applicable,not-applicable,length,cell-text,high,1,
03d6e377ebce5434,cementing-casing,1,s0001,in,in,length,m,scale,0.0254,0.0,not-applicable,not-applicable,not-applicable,length,cell-text,high,58,
03d6e377ebce5434,cementing-casing,1,s0001,mm,mm,length,m,scale,0.001,0.0,not-applicable,not-applicable,not-applicable,length,number-format,medium,2,
03d6e377ebce5434,cementing-casing,1,s0001,ppg,ppg,density,kg/m^3,scale,119.82642732,0.0,not-applicable,not-applicable,not-applicable,mass-density-or-mud-weight,number-format,medium,1,mass-density-vs-mud-weight-gradient
03d6e377ebce5434,cementing-casing,1,s0001,psi,psi,pressure,Pa,scale,6894.757293168,0.0,unspecified,not-applicable,not-applicable,pressure,number-format,medium,2,gauge-vs-absolute-and-pressure-vs-stress
04fb7368e003571e,hydraulics,3,s0003,gal/min,gal/min,volumetric_flow,m^3/s,scale,6.30901964e-05,0.0,not-applicable,not-applicable,context-required,volumetric_flow,cell-text,high,6,actual-vs-standard-reference-state
04fb7368e003571e,hydraulics,3,s0003,ppg,ppg,density,kg/m^3,scale,119.82642732,0.0,not-applicable,not-applicable,not-applicable,mass-density-or-mud-weight,cell-text,high,1,mass-density-vs-mud-weight-gradient
04fb7368e003571e,hydraulics,3,s0003,psi,psi,pressure,Pa,scale,6894.757293168,0.0,unspecified,not-applicable,not-applicable,pressure,cell-text,high,5,gauge-vs-absolute-and-pressure-vs-stress
04fb7368e003571e,hydraulics,3,s0003,rpm,rpm,rotational_speed,rad/s,scale,0.1047197551,0.0,not-applicable,not-applicable,not-applicable,rotational_speed,cell-text,high,6,
04fb7368e003571e,hydraulics,1,s0001,cP,cP,dynamic_viscosity,Pa*s,scale,0.001,0.0,not-applicable,not-applicable,not-applicable,dynamic_viscosity,cell-text,high,2,
04fb7368e003571e,hydraulics,1,s0001,ft,ft,length,m,scale,0.3048,0.0,not-applicable,not-applicable,not-applicable,length,cell-text,high,4,
04fb7368e003571e,hydraulics,1,s0001,ft/h,ft/h,penetration_rate,m/s,scale,8.466666666666667e-05,0.0,not-applicable,not-applicable,not-applicable,penetration_rate,cell-text,high,1,
04fb7368e003571e,hydraulics,1,s0001,ft^2,ft^2,area,m^2,scale,0.09290304,0.0,not-applicable,not-applicable,not-applicable,area,cell-text,high,2,
04fb7368e003571e,hydraulics,1,s0001,gal/min,gal/min,volumetric_flow,m^3/s,scale,6.30901964e-05,0.0,not-applicable,not-applicable,context-required,volumetric_flow,cell-text,high,1,actual-vs-standard-reference-state
04fb7368e003571e,hydraulics,1,s0001,in,in,length,m,scale,0.0254,0.0,not-applicable,not-applicable,not-applicable,length,cell-text,high,5,
04fb7368e003571e,hydraulics,1,s0001,min,min,time,s,scale,60.0,0.0,not-applicable,not-applicable,not-applicable,time,cell-text,high,1,
04fb7368e003571e,hydraulics,1,s0001,ppg,ppg,density,kg/m^3,scale,119.82642732,0.0,not-applicable,not-applicable,not-applicable,mass-density-or-mud-weight,cell-text,high,1,mass-density-vs-mud-weight-gradient
04fb7368e003571e,hydraulics,1,s0001,psi,psi,pressure,Pa,scale,6894.757293168,0.0,unspecified,not-applicable,not-applicable,pressure,cell-text,high,1,gauge-vs-absolute-and-pressure-vs-stress
04fb7368e003571e,hydraulics,1,s0001,rpm,rpm,rotational_speed,rad/s,scale,0.1047197551,0.0,not-applicable,not-applicable,not-applicable,rotational_speed,cell-text,high,1,
04fb7368e003571e,hydraulics,2,s0002,ft,ft,length,m,scale,0.3048,0.0,not-applicable,not-applicable,not-applicable,length,cell-text,high,20,
04fb7368e003571e,hydraulics,2,s0002,ft/h,ft/h,penetration_rate,m/s,scale,8.466666666666667e-05,0.0,not-applicable,not-applicable,not-applicable,penetration_rate,cell-text,high,10,
04fb7368e003571e,hydraulics,2,s0002,gal/min,gal/min,volumetric_flow,m^3/s,scale,6.30901964e-05,0.0,not-applicable,not-applicable,context-required,volumetric_flow,cell-text,high,10,actual-vs-standard-reference-state
04fb7368e003571e,hydraulics,2,s0002,psi,psi,pressure,Pa,scale,6894.757293168,0.0,unspecified,not-applicable,not-applicable,pressure,cell-text,high,60,gauge-vs-absolute-and-pressure-vs-stress
04fb7368e003571e,hydraulics,2,s0002,rpm,rpm,rotational_speed,rad/s,scale,0.1047197551,0.0,not-applicable,not-applicable,not-applicable,rotational_speed,cell-text,high,10,
08779a41064fe720,well-control,1,s0001,h,h,time,s,scale,3600.0,0.0,not-applicable,not-applicable,not-applicable,time,cell-text,high,2,
08779a41064fe720,well-control,1,s0001,lbm/ft^3,lbm/ft^3,density,kg/m^3,scale,16.018463374,0.0,not-applicable,not-applicable,not-applicable,density,cell-text,high,1,mass-density-vs-mud-weight-gradient
08779a41064fe720,well-control,1,s0001,specific-gravity,specific-gravity,density_ratio,1,scale,1.0,0.0,not-applicable,not-applicable,not-applicable,density_ratio,cell-text,high,3,
