capability,workbooks,evidence_type,disposition
cementing.plug,3,static-workbook-evidence,implementation-candidate
cementing.volume,2,static-workbook-evidence,implementation-candidate
completion.brine,1,static-workbook-evidence,implementation-candidate
completion.coiled-tubing,1,static-workbook-evidence,implementation-candidate
completion.nitrogen,3,static-workbook-evidence,implementation-candidate
drillstring.torque,2,static-workbook-evidence,cross-domain-validation
hydraulics.ecd,2,static-workbook-evidence,cross-domain-validation
hydraulics.nozzle,1,static-workbook-evidence,cross-domain-validation
hydraulics.pressure-loss,5,static-workbook-evidence,cross-domain-validation
motor.performance,2,static-workbook-evidence,cross-domain-validation
production.choke,5,static-workbook-evidence,implementation-candidate
production.flow,8,static-workbook-evidence,implementation-candidate
production.metering,3,static-workbook-evidence,implementation-candidate
production.separator,3,static-workbook-evidence,implementation-candidate
production.skin,1,static-workbook-evidence,implementation-candidate
rheology,2,static-workbook-evidence,cross-domain-validation
thermal,9,static-workbook-evidence,cross-domain-validation
tubular.capacity,4,static-workbook-evidence,implementation-candidate
tubular.strength,3,static-workbook-evidence,implementation-candidate
well-control.fit-lot,3,static-workbook-evidence,implementation-candidate
well-control.kick,5,static-workbook-evidence,implementation-candidate
well-control.kill,2,static-workbook-evidence,implementation-candidate
well-control.maasp,3,static-workbook-evidence,implementation-candidate
well-control.volumetric,3,static-workbook-evidence,implementation-candidate
workover.u-tubing,1,static-workbook-evidence,implementation-candidate
