workbook_id,sha256,size_bytes,format,sheets,formula_cells,families,defined_names,encrypted,has_vba,vba_modules,vba_procedures,topics,status
5046ad9ca74dd47a,5046ad9ca74dd47ad9edfce7e7815e9d46546c0e80391c16ff13e59776fb7fa7,150528,.xls,1,47,36,1,False,False,0,0,well-control.kick;well-control.kill;completion.nitrogen;cementing.plug;cementing.volume;thermal,ok
8c1f8a41a9848a70,8c1f8a41a9848a70eca32965db7d2300e6ba16259337962d5f872749a0e39f11,29184,.xls,2,76,24,0,False,True,3,0,cementing.plug;cementing.volume;tubular.capacity,ok
8c2e041f05eb97d0,8c2e041f05eb97d0221f211edb7b87bdecd1823b24662d502ab9746306abd0b2,572416,.xls,30,147,60,93,False,True,7,92,production.flow;production.skin;completion.coiled-tubing;completion.brine;completion.nitrogen;tubular.capacity;tubular.strength;hydraulics.pressure-loss;hydraulics.ecd;hydraulics.nozzle;thermal,ok
a86a606c50c1000a,a86a606c50c1000a674ffbcbd4562acdd2a1159922c9c69caf91b6bbbc70e7ff,93184,.xls,4,111,15,3,False,False,0,0,hydraulics.pressure-loss;hydraulics.ecd;rheology;thermal,ok
de6f0fc41517cd0b,de6f0fc41517cd0b965eb637da6e6a3916b93670737bb46cc9a64c8aeac526eb,63488,.xls,3,7,7,0,False,False,0,0,production.flow;production.choke;production.metering,ok
aa663ae8c11b38a9,aa663ae8c11b38a9f86123dcaffbda71d9ea61462343c058b52dea3c44da9d43,37376,.xls,0,0,0,0,True,False,0,0,well-control.fit-lot,ok
1e6f56798a002c5f,1e6f56798a002c5f4b5120161ac7ae87c16b882ac9f3ea2f19164be627c7a210,37376,.xls,9,27,12,0,False,True,10,0,drillstring.torque,ok
2501598f64544cb7,2501598f64544cb783dabb72a98eef09e2f8d110e9465e632da37a761a1461d1,222720,.xls,4,1396,954,728,False,False,0,0,production.flow;production.separator;well-control.maasp;thermal,ok
f2ee68608fec03f5,f2ee68608fec03f57215dc490d24d22d52808f8b3b81be165d2514cdc346af16,107008,.xls,4,121,8,0,False,False,0,0,production.flow,ok
6afb76f844d2122b,6afb76f844d2122bdc4cabb622386fe8d03514bcd50d7d0417e3a6ae1382a40b,83968,.xls,6,59,32,0,False,True,1,1,production.flow;production.metering;production.separator;thermal,ok
017d28b94868a120,017d28b94868a1204ba4003568bcd9354d8bc2562e23d006fbaaedcc19131eac,87552,.xls,6,64,34,0,False,True,1,1,production.flow;production.metering;production.separator;thermal,ok
919d5d19a825b186,919d5d19a825b18660d5642afacea09bb2b4f9535d5ccaf085e76f7c15f1005f,58368,.xls,2,25,10,5,False,True,3,0,production.flow;hydraulics.pressure-loss;motor.performance,ok
9e8db7742cbe4fb0,9e8db7742cbe4fb0645f9582b238fe39655734e0a348fe107477d5e2c2685778,916480,.xls,3,115,20,2,False,True,4,1,well-control.kick;well-control.kill;well-control.maasp;well-control.fit-lot;tubular.capacity,ok
94c88ce49cafc647,94c88ce49cafc647a54cf24036b50afcf663d7905c1a0f59038115c29526757c,49664,.xls,12,170,12,2,False,False,0,0,cementing.plug;tubular.capacity,ok
e6a2429eced16afe,e6a2429eced16afe0a91a0856b572b8f6f888abffe74dbc1521a7055c6937b82,806400,.xls,0,0,0,0,True,True,5,44,production.choke;well-control.kick;well-control.volumetric;hydraulics.pressure-loss;rheology;thermal,ok
48e84a7374ffc7ba,48e84a7374ffc7ba1073e73596283d320a686d5c8e066a29b920e7a16984fc4a,42496,.xls,3,96,18,112,False,False,0,0,tubular.strength;motor.performance;drillstring.torque,ok
71d67ee8f04bd30f,71d67ee8f04bd30fc210d9ed3750e366cc443a169ab1e16793b8ec2d70c5cab6,20480,.xls,1,20,9,0,False,False,0,0,production.choke;well-control.kick;workover.u-tubing,ok
655208e4aaa50e09,655208e4aaa50e098f52dde6da0456246989b918e2016e955e52638dea1522fc,47616,.xls,1,84,26,33,False,True,2,0,production.choke;well-control.kick;well-control.maasp;well-control.fit-lot;well-control.volumetric;tubular.strength;hydraulics.pressure-loss;thermal,ok
07ab23d5e48b232e,07ab23d5e48b232e1c84475a7efe69d90f0cc7495712aaf22a990f511c86d5c6,103936,.xls,2,85,25,2,False,True,6,3,production.flow;production.choke;well-control.volumetric;completion.nitrogen;thermal,ok
