capability,original_drilling_formula_occurrences,adjacent_workbooks,cross_corpus_status
bha.motor-performance,4774,2,cross-corpus
casing.capacity,456,0,drilling-only
casing.strength,13,0,drilling-only
cementing.plug,0,3,adjacent-new
cementing.volume,172,2,cross-corpus
completion.brine,0,1,adjacent-new
completion.coiled-tubing,0,1,adjacent-new
completion.nitrogen,0,3,adjacent-new
directional.coordinates,8525,0,drilling-only
directional.dogleg-severity,8226,0,drilling-only
directional.toolface,8,0,drilling-only
directional.trajectory,44,0,drilling-only
drillstring.torque,0,2,adjacent-new
hydraulics.bit-nozzle,1811,1,cross-corpus
hydraulics.equivalent-circulating-density,12962,2,cross-corpus
hydraulics.hole-cleaning,597,0,drilling-only
hydraulics.lag,1384,0,drilling-only
hydraulics.pressure-loss,9848,5,cross-corpus
hydraulics.rheology,946,2,cross-corpus
hydraulics.surge-swab,4121,0,drilling-only
hydraulics.two-phase-flow,737,0,drilling-only
production.choke,0,5,adjacent-new
production.flow,0,8,adjacent-new
production.metering,0,3,adjacent-new
production.separator,0,3,adjacent-new
production.skin,0,1,adjacent-new
thermal.geothermal-gradient,358,0,drilling-only
thermal.heat-exchange,10,0,drilling-only
thermal.support,0,9,adjacent-new
torque-drag.connection-capacity,27296,0,drilling-only
torque-drag.stress-capacity,2378,0,drilling-only
tubular.capacity,0,4,adjacent-new
tubular.strength,0,3,adjacent-new
well-control.fit-lot,0,3,adjacent-new
well-control.gas-behavior,592,0,drilling-only
well-control.kick,0,5,adjacent-new
well-control.kick-tolerance,708,0,drilling-only
well-control.kill,0,2,adjacent-new
well-control.kill-density,70,0,drilling-only
well-control.maasp,1013,3,cross-corpus
well-control.pressure-schedule,26,0,drilling-only
well-control.volumetric,0,3,adjacent-new
workover.u-tubing,0,1,adjacent-new
